Record #,Field Office ,Allegation ,Date Case Opened,Year,Final Disposition
950,CLE ,Loss of Equipment ,8/31/2004,2004,Letter of Counsel
951,MIA ,Loss of Equipment ,9/2/2004,2004,Letter of Reprimand
952,MIA ,Misuse of Government Property ,9/2/2004,2004,No Further Action
953,DET ,Loss of Equipment ,9/2/2004,2004,Letter of Reprimand
954,HOU ,Loss of Equipment ,9/2/2004,2004,Letter of Counsel
955,HOU ,Misuse of Government Travel Card ,9/2/2004,2004,Resignation
956,CLT ,Unprofessional Conduct ,9/7/2004,2004,Suspension - 30 Day
957,DEN ,Missed Mission ,9/7/2004,2004,Suspension - 2 Day
958,WFO ,Criminal Arrest ,9/8/2004,2004,Letter of Counsel
959,ATL ,Making Misstatements/False ,9/4/2004,2004,Letter of Reprimand
960,DEN ,Misuse of Government Travel Card ,9/10/2004,2004,Suspension - 5 Day
961,WFO ,Missed Mission ,9/14/2004,2004,Letter of Counsel
962,WFO ,Missed Mission ,9/14/2004,2004,Letter of Counsel
963,WfO ,Dress Code Violation ,9/14/2004,2004,Suspension - 5 Day
964,NWK ,Loss of Equipment ,9/14/2004,2004,Suspension - 7 Day
966,DET ,Loss of Equipment ,9/15/2004,2004,Letter of Counsel
967,CHI ,Unprofessional Conduct ,9/15/2004,2004,No Further Action
968,PHl ,Criminal Conduct ,9/15/2004,2004,Letter of Counsel
969,LAS ,SSI/Classified Material Violation ,9/17/2004,2004,Removal
970,CHI ,Falsification of Records ,9/20/2004,2004,Removal
971,WFO ,Missed Mission ,9/20/2004,2004,Suspension - 5 Day
972,DAL ,Unprofessional Conduct ,9/21/2004,2004,Suspension - 5 Day
973,WFO ,Missed Mission ,9/21/2004,2004,Suspension - 1 Day
974,SEA ,Missed Mission ,9/21/2004,2004,Letter of Counsel
975,SEA ,Missed Mission ,9/21/2004,2004,Suspension - 3 Day
976,DEN ,Unprofessional Conduct ,9/21/2004,2004,Suspension - 3 Day
977,PHL ,Misuse of Government Travel Card ,9/21/2004,2004,Suspension - 5 Day
978,WFO ,Missed Mission ,9/22/2004,2004,Letter of Counsel
979,NWK ,Loss of Equipment ,9/23/2004,2004,Letter of Counsel
980,MIA ,Loss of Equipment ,9/24/2004,2004,Letter of Reprimand
981,DAL ,Unprofessional Conduct ,9/28/2004,2004,Suspension - 2 Day
982,CHI ,Missed Mission ,9/28/2004,2004,Letter of Counsel
983,DEN ,Unintentional Discharge of Firearm ,9/28/2004,2004,Suspension - 1 Day
984,PHL ,Loss of Equipment ,9/24/2004,2004,Letter of Counsel
985,CHI ,Missed Mission ,9/28/2004,2004,Letter of Counsel
986,NWK ,Loss of Equipment ,9/28/2004,2004,Letter of Counsel
987,WFO ,Loss of Equipment ,9/28/2004,2004,Letter of Counsel
988,NWK ,Loss of Equipment ,9/28/2004,2004,Letter of Reprimand
989,CLE ,Loss of Equipment ,9/28/2004,2004,Letter of Counsel
990,NYC ,Unprofessional Conduct ,9/29/2004,2004,Suspension - 1 Day
991,LAX ,Loss of Equipment ,9/29/2004,2004,Verbal Counsel
992,DAL ,Misuse of Government Travel Card ,9/29/2004,2004,Letter of Reprimand
993,NWK ,Missed Mission ,10/4/2004,2004,Letter of Reprimand
994,CHI ,Missed Mission ,10/4/2004,2004,Letter of Counsel
995,CHI ,Absent Without Leave ,10/4/2004,2004,No Further Action
996,CLT ,Misuse of Government Property ,10/5/2004,2004,Letter of Counsel
997,CLT ,Missed Mission ,10/5/2004,2004,Letter of Counsel
998,CLT ,Missed Mission ,10/5/2004,2004,Letter of Counsel
1000,SEA ,Falsification of Records ,10/5/2004,2004,Resignation
1001,SEA ,Falsification of Records ,10/5/2004,2004,Letter of Reprimand
1002,LAX ,Loss of Equipment ,10/12/2004,2004,Letter of Counsel
1003,DAL ,Failure to Honor Just Debts ,10/12/2004,2004,Resignation
1004,NWK ,Loss of Equipment ,10/14/2004,2004,Letter of Counsel
1005,WFO ,Loss of Equipment ,10/14/2004,2004,Letter of Counsel
1006,NYC ,Loss of Equipment ,10/14/2004,2004,Letter of Counsel
1007,DAL ,Unprofessional Conduct ,10/14/2004,2004,Letter of Reprimand
1008,SEA ,Falsification of Records ,10/14/2004,2004,No Further Action
1009,SEA ,Falsification of Records ,10/14/2004,2004,No Further Action
1010,LAS ,Sleeping on Duty ,10/18/2004,2004,Letter of Counsel
1011,LAS ,Sleeping on Duty ,10/18/2004,2004,Letter of Counsel
1012,HOU ,Loss of Equipment ,10/18/2004,2004,Letter of Reprimand
1013,DAL ,Criminal Arrest ,10/20/2004,2004,Removal
1014,WFO ,Failure to Follow Instruction ,10/20/2004,2004,Removal
1015,DAL ,Loss of Equipment ,10/20/2004,2004,Letter of Counsel
1016,DEN ,SSI/Classified Material Violation ,10/20/2004,2004,Suspension - 5 Day
1017,LAX ,Unprofessional Conduct ,10/20/2004,2004,No Further Action
1018,PHL ,Falsification of Records ,10/21/2004,2004,Resignation
1019,PIT ,Absent Without Leave ,10/21/2004,2004,Suspension - 1 Day
1020,DEN ,Loss of Equipment ,10/21/2004,2004,Letter of Counsel
1021,ORL ,Unprofessional Conduct ,10/25/2004,2004,Letter of Reprimand
1022,DAL ,Missed Mission ,10/25/2004,2004,Letter of Counsel
1023,DAL ,Missed Mission ,10/25/2004,2004,Letter of Counsel
1024,HOU ,Loss of Equipment ,10/26/2004,2004,Letter of Counsel
1025,ATL ,Failure to Honor Just Debts ,10/26/2004,2004,Suspension - 3 Day
1026,LAS ,Unintentional Discharge of Firearm ,10/27/2004,2004,Suspension - 7 Day
1027,LAX ,Absent Without Leave ,10/27/2004,2004,Suspension - 6 Day
1028,PHL ,Neglect of Duty ,10/28/2004,2004,Letter of Counsel
1029,DAL ,Missed Mission ,10/28/2004,2004,Letter of Counsel
1030,ORL ,Missed Mission ,11/8/2004,2004,Letter of Reprimand
1031,MSP ,Criminal Conduct ,11/8/2004,2004,No Further Action
1032,PHL ,Failure to Honor Just Debts ,11/8/2004,2004,Suspension - 2 Day
1033,PIT ,Dress Code Violation ,11/8/2004,2004,Resignation
1034,NYC ,Criminal Arrest ,11/10/2004,2004,Letter of Counsel
1035,MSP ,Criminal Arrest ,11/10/2004,2004,Resignation
1036,NWK ,Loss of Equipment ,11/12/2004,2004,Letter of Counsel
1037,MIA ,Unprofessional Conduct ,11/12/2004,2004,Demotion
1038,MSP,Loss of Equipment ,11/12/2004,2004,Letter of Counsel
1039,DEN ,Missed Mission ,11/12/2004,2004,Suspension - 5 Day
1040,ATL ,Missed Mission ,11/12/2004,2004,Suspension - 3 Day
1041,DET ,Missed Mission ,11/15/2004,2004,Suspension - 5 Day
1042,LAS ,Hotel Compliance ,11/15/2004,2004,Letter of Counsel
1043,DAL ,Neglect of Duty ,11/15/2004,2004,Letter of Counsel
1044,DAL ,Neglect of Duty ,11/15/2004,2004,Letter of Counsel
1045,CIN ,Loss of Equipment ,11/15/2004,2004,Letter of Counsel
1046,NWK ,Misuse of Government Travel Card ,11/18/2004,2004,Resignation
1047,DAL ,Loss of Equipment ,11/19/2004,2004,Letter of Counsel
1048,MIA ,Failure to Honor Just Debts ,11/19/2004,2004,Suspension - 3 Day
1049,PIT ,Loss of Equipment ,11/26/2004,2004,Letter of Counsel
1050,NWK ,Dress Code Violation ,11/26/2004,2004,Suspension - 3 Day
1051,NWK ,Failure to Honor Just Debts ,11/26/2004,2004,Suspension - 3 Day
1052,ORL ,Misuse of Government Travel Card ,11/26/2004,2004,Suspension - 3 Day
1053,DAL ,Unprofessional Conduct ,11/26/2004,2004,Letter of Counsel
1054,MIA ,Loss of Equipment ,11/26/2004,2004,Letter of Counsel
1055,WFO ,Miscellaneous ,11/29/2004,2004,Removal
1056,DET ,Missed Mission ,11/30/2004,2004,Letter of Reprimand
1057,NYC ,Unprofessional Conduct ,12/1/2004,2004,Suspension - 3 Day
1058,NYC ,Loss of Equipment ,12/1/2004,2004,Suspension - 12 Day
1059,NYC ,Failure to Honor Just Debts ,12/2/2004,2004,Resignation
1060,DAL ,Loss of Equipment ,12/6/2004,2004,Resignation
1061,ACY ,Unprofessional Conduct ,12/6/2004,2004,No Further Action
1062,ATL ,Loss of Equipment ,12/7/2004,2004,Letter of Counsel
1063,PIT ,Dress Code Violation ,12/7/2004,2004,Suspension - 10 Day
1064,ATL ,Criminal Arrest ,12/7/2004,2004,Last Chance Agreement
1065,LAS ,Loss of Equipment ,12/8/2004,2004,Letter of Counsel
1066,DEN ,"Fighting, Threatening, or Intimidating ",12/13/2004,2004,Verbal Counsel
1067,CLT ,SSI/Classified Material Violation ,12/13/2004,2004,Suspension - 5 Day
1068,NYC ,Unprofessional Conduct ,12/13/2004,2004,Suspension - 14 Day
1069,HOU ,Failure to Follow Instruction ,12/14/2004,2004,letter of Counsel
1070,ORL ,Sleeping on Duty ,12/14/2004,2004,Letter of Counsel
1071,NYC ,Loss of Equipment ,12/14/2004,2004,Suspension - 5 Day
1072,ORL ,Misuse of Government Travel Card ,12/14/2004,2004,Suspension - 14 Day
1073,DEN ,Missed Mission ,12/14/2004,2004,Letter of Counsel
1074,DEN ,Missed Mission ,12/14/2004,2004,Letter of Counsel
1075,NWK ,Loss of Equipment ,12/15/2004,2004,Suspension - 5 Day
1076,NWK ,Failure to Follow Procedure ,12/15/2004,2004,Suspension - 3 Day
1077,NWK ,Failure to Follow Procedure ,12/15/2004,2004,Suspension - 3 Day
1078,LAX ,Missed Mission ,12/15/2004,2004,Letter of Counsel
1079,SEA ,"Fighting, Threatening, or Intimidating ",12/16/2004,2004,Letter of Reprimand
1080,HOU ,Missed Mission ,12/17/2004,2004,Letter of Counsel
1081,DAL,Loss of Equipment ,12/17/2004,2004,Letter of Counsel
1082,HOU ,Loss of Equipment ,12/20/2004,2004,Letter of Counsel
1083,ORL ,Unprofessional Conduct ,12/20/2004,2004,Removal
1084,NWK ,Loss of Equipment ,12/20/2004,2004,Letter of Reprimand
1085,BOS ,Loss of Equipment ,12/21/2004,2004,Letter of Counsel
1086,DAL,Loss of Equipment ,12/20/2004,2004,Letter of Counsel
1087,HOU ,Sick Leave Violation ,12/21/2004,2004,Verbal Counsel
1088,CLT ,Missed Mission ,12/21/2004,2004,Letter of Reprimand
1089,DAL ,Sick Leave Violation ,12/21/2004,2004,Letter of Counsel
1090,WFO ,Unprofessional Conduct ,12/21/2004,2004,No Further Action
1091,PHL ,Misuse of Government Travel Card ,12/22/2004,2004,Removal
1092,MIA ,Unprofessional Conduct ,11/9/2004,2004,Suspension - 3 Day
1093,WFO ,Loss of Equipment ,12/29/2004,2004,Verbal Counsel
1094,DAL ,Loss of Equipment ,12/29/2004,2004,Resignation
1095,CLT ,Hostile Work Environment ,12/30/2004,2004,No Further Action
1096,BOS ,Loss of Equipment ,12/30/2004,2004,Letter of Reprimand
1097,PIT ,Loss of Equipment ,12/30/2004,2004,Verbal Counsel
1098,NWK ,Loss of Equipment ,1/5/2005,2005,Letter of Counsel
1099,WFO ,Falsification of Records ,1/6/2005,2005,Letter of Reprimand
1100,PHL ,Loss of Equipment ,1/6/2005,2005,letter of Counsel
1101,DAL ,Missed Mission ,1/10/2005,2005,Letter of Reprimand
1102,HOU ,Missed Mission ,1/10/2005,2005,No Further Action
1103,ART ,Unprofessional Conduct ,1/11/2005,2005,Verbal Counsel
1104,NYC ,Loss of Equipment ,1/11/2005,2005,Letter of Counsel
1105,ORL ,Sleeping on Duty ,1/12/2005,2005,Letter of Reprimand
1106,LAX ,Abuse of Position/Authority ,1/12/2005,2005,Letter of Counsel
1107,DET ,Missed Mission ,1/14/2005,2005,Suspension - 3 Day
1108,DET ,Failure to Honor Just Debts ,1/21/2005,2005,Suspension - 1 Day
1109,NWK ,Loss of Equipment ,1/21/2005,2005,Suspension - 1 Day
1110,DAL ,Loss of Equipment ,1/21/2005,2005,Letter of Counsel
1111,SEA ,Unintentional Discharge of Firearm ,1/21/2005,2005,Suspension - 5 Day
1112,WFO ,Loss of Equipment ,1/21/2005,2005,Letter of Reprimand
1113,DAL ,Missed Mission ,1/24/2005,2005,Letter of Counsel
1114,CHI ,Unprofessional Conduct ,1/24/2005,2005,No Further Action
1115,LAS ,Criminal Conduct ,1/25/2005,2005,No Further Action
1116,DET ,Loss of Equipment ,1/25/2005,2005,No Further Action
1117,DET ,Missed Mission ,1/27/2005,2005,Letter of Counsel
1118,MIA ,Missed Mission ,1/27/2005,2005,Letter of Reprimand
1119,HQ ,Criminal Conduct ,1/27/2005,2005,Letter of Counsel
1120,NYC ,Misuse of Government Travel Card ,1/28/2005,2005,Resignation
1121,WFO ,Loss of Equipment ,1/28/2005,2005,Letter of Counsel
1122,CHI ,Failure to Follow Procedure ,2/3/2005,2005,Letter of Counsel
1122,CLT ,Criminal Arrest ,1/31/2005,2005,No Further Action
1123,PIT ,Unprofessional Conduct ,2/1/2005,2005,Letter of Counsel
1124,LAX ,Loss of Equipment ,2/1/2005,2005,Letter of Counsel
1125,DET ,Missed Mission ,2/1/2005,2005,Letter of Counsel
1126,CHI ,Failure to Follow Procedure ,2/3/2005,2005,Letter of Counsel
1128,CHI ,Misuse of Government Travel Card ,2/3/2005,2005,Suspension - 5 Day
1129,CHI ,Sexual Harassment ,1/17/2005,2005,Suspension - 7 Day
1130,CHI ,Loss of Equipment ,2/3/2005,2005,Letter of Reprimand
1131,DET ,Loss of Equipment ,2/7/2005,2005,Letter of Reprimand
1132,CIN ,Loss of Equipment ,2/8/2005,2005,Letter of Counsel
1133,HQ ,Misuse of Government Property ,2/8/2005,2005,Suspension - 3 Day
1134,MIA ,Loss of Equipment ,2/8/2005,2005,Suspension - 5 Day
1135,DET ,Loss of Equipment ,2/10/2005,2005,Letter of Counsel
1136,LAX ,Sick Leave Violation ,2/10/2005,2005,Resignation
1137,PHL ,Unprofessional Conduct ,2/11/2005,2005,Letter of Reprimand
1138,ORL ,Loss of Equipment ,2/11/2005,2005,Letter of Reprimand
1139,HOU ,Criminal Conduct ,2/14/2005,2005,No Further Action
1140,SEA ,Loss of Equipment ,2/14/2005,2005,Letter of Counsel
1141,WFO ,Criminal Arrest ,2/14/2005,2005,Suspension - 3 Day
1142,PHL ,Miscellaneous ,2/14/2005,2005,Letter of Counsel
1143,NYC ,Loss of Equipment ,2/15/2005,2005,Letter of Counsel
1144,NYC ,Failure to Honor Just Debts ,2/16/2005,2005,Resignation
1145,NYC ,Loss of Equipment ,2/17/2005,2005,Letter of Counsel
1146,NYC ,Loss of Equipment ,2/17/2005,2005,Letter of Counsel
1147,DAL ,Loss of Equipment ,2/22/2005,2005,Letter of Counsel
1148,DAL ,Missed Mission ,2/22/2005,2005,Letter of Reprimand
1149,DAL ,Missed Mission ,2/22/2005,2005,Letter of Counsel
1150,CLE ,Misuse of Government Travel Card ,2/24/2005,2005,Removal
1151,ORL ,Unprofessional Conduct ,2/22/2005,2005,Letter of Reprimand
1152,DAL ,Loss of Equipment ,2/24/2005,2005,Letter of Reprimand
1153,CLE ,Misuse of Government Travel Card ,2/24/2005,2005,Suspension - 3 Day
1154,DET ,Unprofessional Conduct ,2/24/2005,2005,Suspension - 14 Day
1155,HOU ,Unprofessional Conduct ,2/24/2005,2005,Letter of Counsel
1156,ORL ,Failure to Follow Procedure ,2/24/2005,2005,Suspension - 1 Day
1157,ORL ,Failure to Follow Procedure ,2/24/2005,2005,Letter of Reprimand
1158,CHI ,SSI/Classified Material Violation ,2/25/2005,2005,Suspension - 14 Day
1159,DEN,Alcohol Policy Violation ,2/25/2005,2005,Resignation
1160,PIT ,Loss of Equipment ,3/1/2005,2005,Letter of Counsel
1161,ORL ,Unprofessional Conduct ,3/1/2005,2005,Verbal Counsel
1162,MIA ,Unprofessional Conduct ,3/1/2005,2005,No Further Action
1163,BOS ,Loss of Equipment ,3/1/2005,2005,Letter of Counsel
1164,CHI ,Security/Safety Violation ,3/3/2005,2005,Suspension - 14 Day
1165,PHL ,Loss of Equipment ,3/3/2005,2005,Letter of Counsel
1166,LAX ,Misuse of Government Property ,3/3/2005,2005,Letter of Counsel
1167,DEN ,Missed Mission ,3/4/2005,2005,Letter of Reprimand
1168,DAL ,Loss of Equipment ,3/4/2005,2005,Letter of Reprimand
1169,PIT ,SSI/Classified Material Violation ,3/4/2005,2005,No Further Action
1170,DEN ,Absent Without Leave ,3/8/2005,2005,Letter of Counsel
1171,DAL ,Loss of Equipment ,3/8/2005,2005,Letter of Counsel
1172,LAS ,Miscellaneous ,3/9/2005,2005,Resignation
1173,LAX ,Failure to Follow Procedure ,3/9/2005,2005,Letter of Counsel
1174,LAX ,Failure to Follow Procedure ,3/9/2005,2005,Letter of Counsel
1175,NYC ,Criminal Conduct ,3/10/2005,2005,No Further Action
1176,DET ,Alcohol Policy Violation ,3/14/2005,2005,Suspension - 3 Day
1177,WFO ,SSI/Classified Material Violation ,3/14/2005,2005,No Further Action
1178,NWK ,Miscellaneous ,3/14/2005,2005,Letter of Counsel
1179,LAX ,Unprofessional Conduct ,3/15/2005,2005,Letter of Counsel
1180,HQ ,Unprofessional Conduct ,3/15/2005,2005,No Further Action
1181,LAX ,Failure to Follow Procedure ,3/15/2005,2005,Letter of Counsel
1182,MIA ,Loss of Equipment ,3/15/2005,2005,Letter of Reprimand
1183,CHI ,"Fighting, Threatening, or Intimidating ",3/15/2005,2005,Resignation
1184,LAS ,Unprofessional Conduct ,3/15/2005,2005,Letter of Counsel
1185,DAL ,Miscellaneous ,3/15/2005,2005,No Further Action
1186,MSP ,Loss of Equipment ,3/16/2005,2005,Suspension - 3 Day
1187,PHL ,Loss of Equipment ,3/17/2005,2005,Letter of Counsel
1188,WFO ,Criminal Conduct ,3/17/2005,2005,Letter of Counsel
1189,DET ,Unprofessional Conduct ,3/17/2005,2005,Suspension - 7 Day
1190,DET ,Unprofessional Conduct ,3/17/2005,2005,Letter of Counsel
1191,DEN ,Dress Code Violation ,3/17/2005,2005,Letter of Counsel
1192,DEN ,Falsification of Records ,3/17/2005,2005,Resignation
1193,NYC ,Loss of Equipment ,3/17/2005,2005,Letter of Counsel
1194,WFO ,"Fighting, Threatening, or Intimidating ",3/18/2005,2005,No Further Action
1195,HOU ,Failure to Honor Just Debts ,3/21/2005,2005,Letter of Reprimand
1196,LAS ,Unprofessional Conduct ,3/21/2005,2005,Suspension - 3 Day
1197,BOS ,Miscellaneous ,3/21/2005,2005,Letter of Counsel
1198,HQ ,Loss of Equipment ,3/22/2005,2005,Verbal Counsel
1199,DET ,Loss of Equipment ,3/22/2005,2005,Letter of Counsel
1200,DAL ,Failure to Follow Procedure ,3/22/2005,2005,Letter of Counsel
1201,ORL ,Unprofessional Conduct ,3/22/2005,2005,Letter of Counsel
1202,CHI ,Missed Mission ,3/23/2005,2005,Letter of Reprimand
1203,CHI ,Missed Mission ,3/23/2005,2005,Letter of Counsel
1204,HOU ,Unprofessional Conduct ,3/23/2005,2005,Letter of Reprimand
1205,ORL ,Misuse of Government Travel Card ,3/28/2005,2005,Resignation
1206,HOU ,Failure to Honor Just Debts ,3/28/2005,2005,Letter of Reprimand
1207,PHL ,Loss of Equipment ,3/29/2005,2005,Letter of Counsel
1208,NYC ,SSI/Classified Material Violation ,3/29/2005,2005,Suspension - 2 Day
1209,DAL ,Failure to Follow Procedure ,3/29/2005,2005,Letter of Reprimand
1210,ATL ,Missed Mission ,3/30/2005,2005,Letter of Reprimand
1211,ATL ,Missed Mission ,3/30/2005,2005,Letter of Counsel
1212,DEN ,Loss of Equipment ,3/31/2005,2005,Letter of Reprimand
1213,MIA ,Loss of Equipment ,3/31/2005,2005,Letter of Counsel
1214,DET ,Failure to Honor Just Debts ,3/31/2005,2005,letter of Counsel
1215,DET ,Misuse of Government Property ,3/31/2005,2005,Suspension - 14 Day
1216,WFO ,Neglect of Duty ,4/1/2005,2005,Letter of Counsel
1217,WFO ,Neglect of Duty ,4/1/2005,2005,Letter of Counsel
1218,WFO ,Neglect of Duty ,4/1/2005,2005,Letter of Counsel
1219,DAL ,Missed Mission ,4/1/2005,2005,Letter of Counsel
1220,NYC ,Criminal Conduct ,4/4/2005,2005,No Further Action
1221,DET ,Loss of Equipment ,4/5/2005,2005,Letter of Counsel
1222,WFO ,Neglect of Duty ,4/5/2005,2005,Letter of Counsel
1223,CLE ,Loss of Equipment ,4/5/2005,2005,Letter of Counsel
1224,LAX ,Miscellaneous ,4/7/2005,2005,Verbal Counsel
1225,LAS ,Miscellaneous ,4/7/2005,2005,Verbal Counsel
1226,ATL ,Unprofessional Conduct ,4/7/2005,2005,Suspension - 5 Day
1227,ATL ,Unprofessional Conduct ,4/7/2005,2005,Last Chance Agreement
1228,MSP ,Miscellaneous ,4/7/2005,2005,No Further Action
1229,ORL ,Criminal Conduct ,4/7/2005,2005,Letter of Counsel
1230,ATL ,Unprofessional Conduct ,4/12/2005,2005,Suspension - 5 Day
1231,HOU ,Sick Leave Violation ,4/8/2005,2005,Suspension - 3 Day
1232,HOU ,Missed Mission ,4/12/2005,2005,Letter of Counsel
1233,HOU ,Misuse of Government Travel Card ,4/12/2005,2005,Letter of Counsel
1234,SEA ,Criminal Arrest ,4/12/2005,2005,No Further Action
1235,CIN ,Criminal Arrest ,4/12/2005,2005,Letter of Reprimand
1236,DEN ,Falsification of Records ,4/12/2005,2005,No Further Action
1237,CHI ,Loss of Equipment ,4/12/2005,2005,Letter of Counsel
1238,CHI ,Loss of Equipment ,4/12/2005,2005,Letter of Reprimand
1239,WFO ,Criminal Conduct ,4/12/2005,2005,Letter of Counsel
1240,NYC ,Abuse of Position/Authority ,4/12/2005,2005,No Further Action
1241,CHI ,Unintentional Discharge of Firearm ,4/14/2005,2005,Suspension - 3 Day
1242,NYC ,Missed Mission ,4/14/2005,2005,Suspension - 2 Day
1243,NYC ,Failure to Honor Just Debts ,4/14/2005,2005,Suspension - 10 Day
1245,HOU ,Loss of Equipment ,4/14/2005,2005,Letter of Counsel
1246,LAS ,Criminal Arrest ,4/14/2005,2005,Letter of Reprimand
1247,PHL ,Failure to Honor Just Debts ,4/14/2005,2005,Suspension - 5 Day
1248,DAL ,Missed Mission ,4/14/2005,2005,Letter of Counsel
1249,DET ,Unprofessional Conduct ,4/14/2005,2005,Letter of Reprimand
1250,CLT ,Missed Mission ,4/14/2005,2005,Letter of Counsel
1251,NYC ,Misuse of Government Property ,4/14/2005,2005,Suspension - 1 Day
1252,CLT ,Loss of Equipment ,4/14/2005,2005,Letter of Counsel
1253,CHI ,Loss of Equipment ,4/18/2005,2005,Suspension - 3 Day
1254,DEN ,Sexual Harassment ,4/18/2005,2005,Suspension - 5 Day
1255,DET ,Missed Mission ,4/18/2005,2005,Suspension - 7 Day
1256,HOU ,Missed Mission ,4/18/2005,2005,Letter of Counsel
1257,DEN ,Unprofessional Conduct ,4/18/2005,2005,Letter of Counsel
1258,DEN ,"Fighting, Threatening, or Intimidating ",4/18/2005,2005,Resignation
1259,DAL ,Failure to Follow Procedure ,4/18/2005,2005,letter of Counsel
1260,LAS ,Unprofessional Conduct ,4/18/2005,2005,Letter of Counsel
1261,DEN ,Failure to Honor Just Debts ,4/18/2005,2005,Letter of Reprimand
1262,DEN ,Failure to Follow Procedure ,4/18/2005,2005,Letter of Counsel
1263,MIA ,Loss of Equipment ,4/21/2005,2005,Letter of Counsel
1264,PIT ,Loss of Equipment ,4/21/2005,2005,Letter of Counsel
1265,MIA ,Loss of Equipment ,4/25/2005,2005,Letter of Counsel
1266,ATL ,Making Misstatements/False ,4/25/2005,2005,Resignation
1267,NYC ,Loss of Equipment ,4/25/2005,2005,letter of Counsel
1268,CHI ,Unprofessional Conduct ,4/25/2005,2005,No Further Action
1269,PHL ,Criminal Arrest ,4/26/2005,2005,Retirement
1270,LAS ,"Fighting, Threatening, or Intimidating ",4/26/2005,2005,Removal
1271,CLT ,Loss of Equipment ,4/27/2005,2005,Suspension - 3 Day
1272,NYC ,Misuse of Government Travel Card ,4/27/2005,2005,Suspension - 3 Day
1273,DAL ,Missed Mission ,4/27/2005,2005,Letter of Counsel
1274,DAL ,Missed Mission ,4/27/2005,2005,Letter of Counsel
1275,MIA ,Loss of Equipment ,4/28/2005,2005,Letter of Counsel
1276,DET ,Missed Mission ,5/3/2005,2005,Letter of Reprimand
1277,DAL ,Missed Mission ,5/3/2005,2005,Suspension - 1 Day
1278,LAS ,Criminal Arrest ,5/3/2005,2005,Letter of Reprimand
1279,HOU ,Loss of Equipment ,5/4/2005,2005,Suspension - 7 Day
1280,CLT ,Missed Mission ,5/5/2005,2005,Letter of Counsel
1281,CLT ,Missed Mission ,5/5/2005,2005,Letter of Counsel
1282,LAS ,Failure to Follow Procedure ,5/6/2005,2005,Letter of Counsel
1283,LAS ,Failure to Follow Procedure ,5/6/2005,2005,Letter of Counsel
1284,LAS ,Failure to Follow Procedure ,5/6/2005,2005,Letter of Counsel
1285,HQ ,Criminal Arrest ,5/6/2005,2005,Resignation
1286,ORL ,Unprofessional Conduct ,5/6/2005,2005,Letter of Reprimand
1287,ORL ,Unprofessional Conduct ,5/6/2005,2005,Letter of Counsel
1288,DEN ,Missed Mission ,5/9/2005,2005,Letter of Counsel
1289,PIT ,Loss of Equipment ,5/9/2005,2005,Letter of Counsel
1290,MIA ,"Fighting, Threatening, or Intimidating ",5/10/2005,2005,No Further Action
1291,WFO ,Missed Mission ,5/10/2005,2005,Removal
1292,NWK ,Falsification of Records ,5/10/2005,2005,Resignation
1293,HOU ,Loss of Equipment ,5/10/2005,2005,Letter of Reprimand
1294,PHL ,Failure to Follow Procedure ,5/10/2005,2005,Suspension - 1 Day
1295,DEN ,Failure to Follow Procedure ,5/11/2005,2005,Resignation
1296,DAL,Missed Mission ,5/11/2005,2005,Letter of Counsel
1297,PHL ,Loss of Equipment ,5/12/2005,2005,Letter of Counsel
1298,DAL ,Failure to Follow Instruction ,5/16/2005,2005,Letter of Counsel
1299,DAL ,Failure to Follow Instruction ,5/16/2005,2005,Letter of Counsel
1300,DAL ,Failure to Follow Procedure ,5/16/2005,2005,Letter of Counsel
1301,LAX ,Security/Safety Violation ,5/16/2005,2005,Suspension - 7 Day
1302,MSP ,Missed Mission ,5/16/2005,2005,Letter of Counsel
1303,ATL ,Missed Mission ,5/16/2005,2005,Suspension - 1 Day
1304,ATL ,Missed Mission ,5/16/2005,2005,Suspension - 1 Day
1305,PHL ,Unprofessional Conduct ,5/18/2005,2005,Suspension - 2 Day
1306,DAL ,Loss of Equipment ,5/18/2005,2005,Letter of Counsel
1307,LAX ,Unprofessional Conduct ,5/18/2005,2005,No Further Action
1308,HOU ,"Fighting, Threatening, or Intimidating ",5/18/2005,2005,Letter of Counsel
1309,PHL ,Loss of Equipment ,5/20/2005,2005,Letter of Counsel
1310,ORL ,Loss of Equipment ,5/20/2005,2005,Suspension - 1 Day
1311,PHL ,Absent Without Leave ,5/25/2005,2005,Letter of Counsel
1312,DAL ,Failure to Follow Procedure ,5/25/2005,2005,No Further Action
1313,DAL ,Failure to Follow Procedure ,5/25/2005,2005,No Further Action
1314,MSP ,Missed Mission ,5/25/2005,2005,Letter of Counsel
1315,DAL,Missed Mission ,5/25/2005,2005,Letter of Reprimand
1316,DAL ,Failure to Honor Just Debts ,5/25/2005,2005,Suspension - 7 Day
1317,CHI ,Missed Mission ,5/25/2005,2005,Letter of Counsel
1318,ATL ,Criminal Arrest ,5/25/2005,2005,Letter of Reprimand
1319,PIT ,Failure to Honor Just Debts ,5/25/2005,2005,Resignation
1320,DAL ,Making Misstatements/False ,5/27/2005,2005,Letter of Counsel
1321,LAX ,Loss of Equipment ,5/27/2005,2005,Letter of Counsel
1322,DAL ,Failure to Follow Procedure ,6/1/2005,2005,Letter of Counsel
1323,MIA ,Loss of Equipment ,6/1/2005,2005,Letter of Counsel
1324,ATL ,Sick Leave Violation ,6/1/2005,2005,Suspension - 5 Day
